Author
Lisa Lerner
David Gelber
Rebecca Maizel
Jessica McHugh
Adam   Wasserman
Kathleen Papajohn
Juli Zeh
Johan Leys
David J. Nix
Barbara Rayne
Cindy Borgne
Emily Schultz
Rom LcO'Feer
Lissa Bryan
Mathieu Gallant
Saewod Tice
Peter Laurent
Manil Suri
Jeffrey Aaron Miller
Kate Johnson
Jeremy Bullian
Alison Stewart
Nix Hamilton
Emi Gayle
Peter Liney
Strobe Witherspoon
Jason Rizos
Daniel Unedo
Kari Aguila
Ines Galiano
Rebecca Besser
Stephen   Black
Kelly A. Wilson
Jonathan   Cook
Cathrine Goldstein
Holly Cave
Jim    West
Zack Mitchell
Thomas   Brown
Stephanie Erickson
Andre Mikhailovich Solonitsyn
Adam J. Whitlatch
James J. Caterino
Amanda Holohan
Jenny Lynne
Ransom Riggs
M.C. Frank
Tricia Reeks
Alexander Ferrick
Kirsty Dallas
Fiona Fraser
Rebecca Belliston
G.X. Todd
Sean C. Helms
Stuart Archer Cohen
L. Ron Hubbard
Jeremy Marinoff
Tyffani Clark Kemp
Lesley  Kelly
Matthew D. Dho
Tessa Clare
César Pérez Gellida
Michael Kilman
Jen Crane
Amanda           Rose
Ming Wei
C.J. Dushinski
Vincent McCaffrey
Christopher   Cole
Catherine Bush
Ellie Aiden
Jared K. Chapman
Misty Zaugg
Austin Tappan Wright
Albert Brooks
Jalex Hansen
Jalex Hansen
Timothy Findley
Jeremy C. Shipp
Gore Vidal
Rachel Fisher
Peter Tieryas
Ann Christy
Theresa Kay
Kerry Alan Denney
Emmy Jackson
Ilona Andrews
D.J. Molles
E.J. Wenstrom
Sam Skidmore
Sam Skidmore
